timestamp,vessel_id,vessel_size_teu,berth_id,vessel_type,eta_timestamp,ata_timestamp,departure_timestamp,vessel_status,containers_to_discharge,containers_to_load,discharge_rate_cph,cranes_assigned,yard_congestion_level,customs_hold_flag,weather_delay_factor,operations_active,remaining_containers
2024-01-01 02:00:00,VSL_0037,1539,BERTH_04,PANAMAX,2024-01-01 08:00:00,2024-01-01 09:06:39.002724,2024-01-02 04:24:14.740804,incoming,560,568,87,3,0.26432731989144886,0,0.13171035816641893,0,1128
2024-01-01 02:15:00,VSL_0037,1539,BERTH_04,PANAMAX,2024-01-01 08:00:00,2024-01-01 09:06:39.002724,2024-01-02 04:24:14.740804,incoming,560,568,87,3,0.09035874099592132,0,0.10025759135678403,0,1128
2024-01-01 02:30:00,VSL_0037,1539,BERTH_04,PANAMAX,2024-01-01 08:00:00,2024-01-01 09:06:39.002724,2024-01-02 04:24:14.740804,incoming,560,568,87,3,0.19560795592747215,0,0.13479351833728792,0,1128
2024-01-01 02:45:00,VSL_0037,1539,BERTH_04,PANAMAX,2024-01-01 08:00:00,2024-01-01 09:06:39.002724,2024-01-02 04:24:14.740804,incoming,560,568,87,3,0.19564679203242374,0,0.18236381374873412,0,1128
2024-01-01 03:00:00,VSL_0032,14668,BERTH_07,ULCV,2024-01-01 09:00:00,2024-01-01 11:46:21.137470,2024-01-04 15:31:35.242821,incoming,5435,4775,206,6,0.10851551241514405,0,0.12724794871611383,0,10210
2024-01-01 03:00:00,VSL_0037,1539,BERTH_04,PANAMAX,2024-01-01 08:00:00,2024-01-01 09:06:39.002724,2024-01-02 04:24:14.740804,incoming,560,568,87,3,0.2377464298037194,0,0.194361317087009,0,1128
2024-01-01 03:15:00,VSL_0032,14668,BERTH_07,ULCV,2024-01-01 09:00:00,2024-01-01 11:46:21.137470,2024-01-04 15:31:35.242821,incoming,5435,4775,206,6,0.22340698517758434,0,0.14059586153005063,0,10210
2024-01-01 03:15:00,VSL_0037,1539,BERTH_04,PANAMAX,2024-01-01 08:00:00,2024-01-01 09:06:39.002724,2024-01-02 04:24:14.740804,incoming,560,568,87,3,0.2280134058715294,0,0.1567913332668165,0,1128
2024-01-01 03:30:00,VSL_0032,14668,BERTH_07,ULCV,2024-01-01 09:00:00,2024-01-01 11:46:21.137470,2024-01-04 15:31:35.242821,incoming,5435,4775,206,6,0.24605171784907967,0,0.12453735680936398,0,10210
2024-01-01 03:30:00,VSL_0037,1539,BERTH_04,PANAMAX,2024-01-01 08:00:00,2024-01-01 09:06:39.002724,2024-01-02 04:24:14.740804,incoming,560,568,87,3,0.22090452559681642,0,0.19099451783169455,0,1128
2024-01-01 03:45:00,VSL_0032,14668,BERTH_07,ULCV,2024-01-01 09:00:00,2024-01-01 11:46:21.137470,2024-01-04 15:31:35.242821,incoming,5435,4775,206,6,0.2814601059847779,0,0.1666075252656772,0,10210
2024-01-01 03:45:00,VSL_0037,1539,BERTH_04,PANAMAX,2024-01-01 08:00:00,2024-01-01 09:06:39.002724,2024-01-02 04:24:14.740804,incoming,560,568,87,3,0.23883495768349022,0,0.11164868274214523,0,1128
2024-01-01 04:00:00,VSL_0032,14668,BERTH_07,ULCV,2024-01-01 09:00:00,2024-01-01 11:46:21.137470,2024-01-04 15:31:35.242821,incoming,5435,4775,206,6,0.2836443563890656,0,0.13803379260600562,0,10210
2024-01-01 04:00:00,VSL_0037,1539,BERTH_04,PANAMAX,2024-01-01 08:00:00,2024-01-01 09:06:39.002724,2024-01-02 04:24:14.740804,incoming,560,568,87,3,0.23692651944766255,0,0.19576733353591486,0,1128
2024-01-01 04:15:00,VSL_0032,14668,BERTH_07,ULCV,2024-01-01 09:00:00,2024-01-01 11:46:21.137470,2024-01-04 15:31:35.242821,incoming,5435,4775,206,6,0.18301399482886183,0,0.0703524289075525,0,10210
2024-01-01 04:15:00,VSL_0037,1539,BERTH_04,PANAMAX,2024-01-01 08:00:00,2024-01-01 09:06:39.002724,2024-01-02 04:24:14.740804,incoming,560,568,87,3,0.271645383475251,0,0.1234734985680477,0,1128
2024-01-01 04:30:00,VSL_0032,14668,BERTH_07,ULCV,2024-01-01 09:00:00,2024-01-01 11:46:21.137470,2024-01-04 15:31:35.242821,incoming,5435,4775,206,6,0.22255277960689482,0,0.14912120354627245,0,10210
2024-01-01 04:30:00,VSL_0033,517,BERTH_08,FEEDER,2024-01-01 10:30:00,2024-01-01 14:24:30.779762,2024-01-01 22:03:27.767000,incoming,166,159,30,1,0.2509345696368111,1,0.0,0,325
2024-01-01 04:30:00,VSL_0037,1539,BERTH_04,PANAMAX,2024-01-01 08:00:00,2024-01-01 09:06:39.002724,2024-01-02 04:24:14.740804,incoming,560,568,87,3,0.24282648817345884,0,0.1147966925987769,0,1128
2024-01-01 04:45:00,VSL_0032,14668,BERTH_07,ULCV,2024-01-01 09:00:00,2024-01-01 11:46:21.137470,2024-01-04 15:31:35.242821,incoming,5435,4775,206,6,0.24899493971794887,0,0.15759233078215013,0,10210
2024-01-01 04:45:00,VSL_0033,517,BERTH_08,FEEDER,2024-01-01 10:30:00,2024-01-01 14:24:30.779762,2024-01-01 22:03:27.767000,incoming,166,159,30,1,0.28418623809244614,1,0.001147150078951449,0,325
2024-01-01 04:45:00,VSL_0037,1539,BERTH_04,PANAMAX,2024-01-01 08:00:00,2024-01-01 09:06:39.002724,2024-01-02 04:24:14.740804,incoming,560,568,87,3,0.08042896526391424,0,0.1362396811084862,0,1128
2024-01-01 05:00:00,VSL_0032,14668,BERTH_07,ULCV,2024-01-01 09:00:00,2024-01-01 11:46:21.137470,2024-01-04 15:31:35.242821,incoming,5435,4775,206,6,0.1344922790027787,0,0.13039933038379564,0,10210
2024-01-01 05:00:00,VSL_0033,517,BERTH_08,FEEDER,2024-01-01 10:30:00,2024-01-01 14:24:30.779762,2024-01-01 22:03:27.767000,incoming,166,159,30,1,0.2641265118304107,1,0.03255302674681128,0,325
2024-01-01 05:00:00,VSL_0037,1539,BERTH_04,PANAMAX,2024-01-01 08:00:00,2024-01-01 09:06:39.002724,2024-01-02 04:24:14.740804,incoming,560,568,87,3,0.09516792235385699,0,0.18044516601416505,0,1128
2024-01-01 05:15:00,VSL_0032,14668,BERTH_07,ULCV,2024-01-01 09:00:00,2024-01-01 11:46:21.137470,2024-01-04 15:31:35.242821,incoming,5435,4775,206,6,0.1524498045146826,0,0.15157818632478406,0,10210
2024-01-01 05:15:00,VSL_0033,517,BERTH_08,FEEDER,2024-01-01 10:30:00,2024-01-01 14:24:30.779762,2024-01-01 22:03:27.767000,incoming,166,159,30,1,0.2136675516820966,1,0.008335179119686415,0,325
2024-01-01 05:15:00,VSL_0037,1539,BERTH_04,PANAMAX,2024-01-01 08:00:00,2024-01-01 09:06:39.002724,2024-01-02 04:24:14.740804,incoming,560,568,87,3,0.21269829381244515,0,0.10695348684162564,0,1128
2024-01-01 05:30:00,VSL_0032,14668,BERTH_07,ULCV,2024-01-01 09:00:00,2024-01-01 11:46:21.137470,2024-01-04 15:31:35.242821,incoming,5435,4775,206,6,0.28438597985997627,0,0.0820058890068496,0,10210
2024-01-01 05:30:00,VSL_0033,517,BERTH_08,FEEDER,2024-01-01 10:30:00,2024-01-01 14:24:30.779762,2024-01-01 22:03:27.767000,incoming,166,159,30,1,0.2862681616955345,1,0.018760891512029355,0,325
